"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.js", "JavaScript", 242, 0, 0, 3, 14, 259
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\share.css", "CSS", 0, 0, 6, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\tagCircle.js", "JavaScript", 143, 0, 0, 7, 17, 167
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.js", "JavaScript", 14, 0, 0, 5, 3, 22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\GlobalStore.js", "JavaScript", 114, 0, 0, 0, 7, 121
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\index.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\add_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\audio_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\cha.svg", "XML", 0, 1, 0, 0, 0, 1
